rsvp_id,event_id,entity_id,attendee_email,event_name,event_type,event_date,venue,rsvp_status,registered_at
RSVP_000030,EVT_0003,E100981,tara.joshi@iitg.ac.in,Technical Workshop - campana culpa,Technical Workshop,2026-04-25T14:03:07.425Z,CAF_FOOD_COURT,confirmed,2025-09-28T03:38:05.133Z
RSVP_000031,EVT_0004,E100042,vihaan.saxena@iitg.ac.in,Research Presentation - adsuesco labore,Research Presentation,2025-12-31T14:22:35.777Z,ADMIN_LOBBY,confirmed,2025-09-19T05:04:55.555Z
RSVP_000032,EVT_0004,E100262,arjun.gupta@iitg.ac.in,Sports Tournament - consequuntur dolorum,Sports Tournament,2026-04-01T08:44:04.517Z,HOSTEL_A,confirmed,2025-09-30T02:39:35.010Z
RSVP_000033,EVT_0004,E100828,pari.shah@iitg.ac.in,Conference - comis vesper,Conference,2025-12-11T16:41:15.339Z,LAB_101,confirmed,2025-10-05T12:32:00.930Z
RSVP_000034,EVT_0004,E100247,sai.reddy@iitg.ac.in,Technical Workshop - aedificium tergiversatio,Technical Workshop,2025-11-03T19:13:20.142Z,LAB_102,confirmed,2025-10-20T20:29:56.709Z
RSVP_000035,EVT_0004,E100710,sana.joshi@iitg.ac.in,Sports Tournament - bellum tondeo,Sports Tournament,2025-12-22T15:18:33.567Z,CC_SERVER,confirmed,2025-10-10T18:02:49.676Z
RSVP_000036,EVT_0004,E100363,ayaan.chopra@iitg.ac.in,Research Presentation - audio arcesso,Research Presentation,2025-11-04T20:18:14.699Z,LIB_L1,pending,2025-10-20T00:54:10.104Z
RSVP_000037,EVT_0004,E100156,diya.shah@iitg.ac.in,Seminar - aestas corpus,Seminar,2026-04-05T22:50:46.979Z,LAB_201,pending,2025-09-25T15:20:48.813Z
RSVP_000038,EVT_0004,E100277,vivaan.modi@iitg.ac.in,Alumni Meet - vivo viridis,Alumni Meet,2025-11-16T10:42:15.019Z,LAB_101,confirmed,2025-10-11T21:55:05.521Z
RSVP_000039,EVT_0004,E100828,pari.shah@iitg.ac.in,Technical Workshop - deleo canonicus,Technical Workshop,2026-03-28T01:14:32.205Z,LIB_ENT,confirmed,2025-10-14T04:14:28.236Z
RSVP_000040,EVT_0004,E100571,sai.mehta@iitg.ac.in,Technical Workshop - bene aperiam,Technical Workshop,2026-04-23T08:14:49.483Z,LAB_102,confirmed,2025-10-24T03:19:34.086Z
RSVP_000041,EVT_0005,E100820,pranav.srivastava@iitg.ac.in,Guest Lecture - curia necessitatibus,Guest Lecture,2026-01-16T18:09:43.258Z,LIB_ENT,declined,2025-10-08T04:33:22.504Z
RSVP_000042,EVT_0005,E100685,anika.desai@iitg.ac.in,Alumni Meet - varietas acies,Alumni Meet,2026-01-04T12:46:23.983Z,AUD_MAIN,confirmed,2025-10-07T04:49:39.834Z
RSVP_000043,EVT_0005,E100890,priya.srivastava@iitg.ac.in,Career Fair - cilicium caries,Career Fair,2025-12-23T15:50:31.195Z,ADMIN_LOBBY,confirmed,2025-09-26T07:05:33.734Z
RSVP_000044,EVT_0005,E100788,advik.srivastava@iitg.ac.in,Conference - caecus cernuus,Conference,2026-04-01T08:06:50.943Z,ADMIN_OFFICE,pending,2025-09-27T08:01:14.877Z
RSVP_000045,EVT_0005,E100429,pranav.agarwal@iitg.ac.in,Alumni Meet - tyrannus undique,Alumni Meet,2026-02-15T09:45:38.765Z,HOSTEL_B,confirmed,2025-09-24T16:06:10.676Z
RSVP_000046,EVT_0005,E100341,pranav.modi@iitg.ac.in,Alumni Meet - clam aegre,Alumni Meet,2026-04-06T07:47:39.906Z,GYM_INDOOR,confirmed,2025-10-03T04:17:46.415Z
RSVP_000047,EVT_0005,E100142,aarav.rao@iitg.ac.in,Career Fair - adnuo aspernatur,Career Fair,2026-03-30T23:32:34.239Z,AC_201,confirmed,2025-09-19T19:30:32.938Z
RSVP_000048,EVT_0005,E100939,neha.chopra@iitg.ac.in,Career Fair - atavus cunabula,Career Fair,2025-12-20T13:40:16.176Z,AC_102,confirmed,2025-10-03T10:21:35.437Z
RSVP_000049,EVT_0005,E100439,advik.bansal@iitg.ac.in,Festival Celebration - ullus certe,Festival Celebration,2025-12-05T13:12:17.387Z,AUD_MAIN,confirmed,2025-10-15T16:30:11.326Z
RSVP_000050,EVT_0005,E100168,riya.mishra@iitg.ac.in,Technical Workshop - theologus deinde,Technical Workshop,2025-11-28T05:02:38.944Z,LIB_L1,confirmed,2025-10-12T17:43:45.386Z
RSVP_000051,EVT_0006,E100742,vivaan.srivastava@iitg.ac.in,Career Fair - socius arceo,Career Fair,2026-01-23T03:34:47.402Z,AC_201,confirmed,2025-09-29T01:19:38.590Z
RSVP_000052,EVT_0006,E100327,myra.patel@iitg.ac.in,Research Presentation - tui bis,Research Presentation,2026-02-14T17:12:56.236Z,LAB_101,confirmed,2025-09-21T16:27:33.904Z
RSVP_000053,EVT_0006,E100734,pranav.agarwal@iitg.ac.in,Conference - strenuus sumo,Conference,2026-01-02T01:41:20.105Z,AC_102,pending,2025-09-19T07:49:38.221Z
RSVP_000054,EVT_0006,E100423,saanvi.singh@iitg.ac.in,Seminar - accendo theatrum,Seminar,2025-12-13T09:14:47.862Z,LIB_L1,confirmed,2025-10-13T17:20:02.040Z
RSVP_000055,EVT_0006,E100693,neha.verma@iitg.ac.in,Technical Workshop - nobis arceo,Technical Workshop,2026-02-21T03:34:32.588Z,LAB_102,confirmed,2025-10-05T03:48:41.657Z
RSVP_000056,EVT_0006,E100953,tara.mehta@iitg.ac.in,Research Presentation - tendo fugiat,Research Presentation,2025-10-27T22:09:47.615Z,LIB_L1,confirmed,2025-10-20T10:24:13.008Z
RSVP_000057,EVT_0006,E100039,advik.gupta@iitg.ac.in,Festival Celebration - pariatur tabesco,Festival Celebration,2026-01-21T00:50:42.826Z,CAF_MAIN,confirmed,2025-10-25T03:07:17.792Z
RSVP_000058,EVT_0006,E100715,ayaan.malhotra@iitg.ac.in,Seminar - vox autus,Seminar,2026-03-19T13:51:44.236Z,AUD_SEMINAR,confirmed,2025-09-20T20:51:02.938Z
RSVP_000059,EVT_0006,E100557,shaurya.sharma@iitg.ac.in,Conference - ipsa dolore,Conference,2025-11-20T14:45:18.072Z,AC_201,confirmed,2025-10-08T21:21:57.898Z
RSVP_000060,EVT_0006,E100602,siya.saxena@iitg.ac.in,Technical Workshop - cultellus nihil,Technical Workshop,2026-04-22T04:08:34.161Z,LAB_201,pending,2025-10-04T12:16:55.225Z
RSVP_000061,EVT_0007,E100557,shaurya.sharma@iitg.ac.in,Research Presentation - tantillus video,Research Presentation,2026-01-23T15:21:57.608Z,AUD_SEMINAR,declined,2025-10-09T23:26:33.165Z
RSVP_000062,EVT_0007,E100419,vihaan.pandey@iitg.ac.in,Cultural Event - antiquus tricesimus,Cultural Event,2026-04-17T20:03:07.836Z,LAB_102,confirmed,2025-10-22T06:11:58.639Z
RSVP_000063,EVT_0007,E100232,tara.agarwal@iitg.ac.in,Conference - cultellus pectus,Conference,2025-12-29T15:32:38.820Z,AUD_SEMINAR,pending,2025-09-20T00:32:40.183Z
RSVP_000064,EVT_0007,E100290,aarav.agarwal@iitg.ac.in,Guest Lecture - quaerat tergeo,Guest Lecture,2026-04-13T15:49:04.436Z,LAB_101,confirmed,2025-10-23T00:32:53.790Z
RSVP_000065,EVT_0007,E100232,tara.agarwal@iitg.ac.in,Conference - tristis thalassinus,Conference,2025-11-12T03:54:25.922Z,HOSTEL_C,pending,2025-09-29T23:53:29.210Z
RSVP_000066,EVT_0007,E100535,aditya.tiwari@iitg.ac.in,Guest Lecture - conventus uredo,Guest Lecture,2025-11-09T06:00:17.099Z,GYM_MAIN,declined,2025-10-20T10:15:05.476Z
RSVP_000067,EVT_0007,E100880,sai.rao@iitg.ac.in,Seminar - audacia porro,Seminar,2026-02-09T02:47:24.780Z,HOSTEL_B,confirmed,2025-09-27T04:15:32.429Z
RSVP_000068,EVT_0007,E100417,neha.malhotra@iitg.ac.in,Sports Tournament - abundans asperiores,Sports Tournament,2025-12-26T19:17:59.142Z,HOSTEL_B,confirmed,2025-10-13T07:50:04.140Z
RSVP_000069,EVT_0007,E100559,krishna.joshi@iitg.ac.in,Festival Celebration - angulus combibo,Festival Celebration,2025-11-21T00:01:50.693Z,AC_102,confirmed,2025-10-02T22:54:45.305Z
RSVP_000070,EVT_0007,E100504,ishaan.tiwari@iitg.ac.in,Sports Tournament - conculco calculus,Sports Tournament,2026-04-09T22:50:37.095Z,LIB_L3,confirmed,2025-10-16T00:16:30.775Z
RSVP_000071,EVT_0008,E100233,shaurya.patel@iitg.ac.in,Cultural Event - viridis tantillus,Cultural Event,2026-02-14T18:55:24.224Z,LAB_101,confirmed,2025-10-15T05:54:10.977Z
RSVP_000072,EVT_0008,E100955,reyansh.agarwal@iitg.ac.in,Alumni Meet - basium victus,Alumni Meet,2026-01-17T09:36:16.794Z,CAF_FOOD_COURT,confirmed,2025-10-05T06:13:26.306Z
RSVP_000073,EVT_0008,E100296,saanvi.rao@iitg.ac.in,Cultural Event - artificiose curiositas,Cultural Event,2025-10-25T17:35:12.180Z,AUD_SEMINAR,confirmed,2025-09-28T14:03:04.061Z
RSVP_000074,EVT_0008,E100348,sana.tiwari@iitg.ac.in,Cultural Event - verus thorax,Cultural Event,2026-03-06T02:01:33.892Z,LIB_L1,declined,2025-10-23T09:14:31.696Z
RSVP_000075,EVT_0008,E100315,sana.singh@iitg.ac.in,Seminar - sortitus occaecati,Seminar,2025-12-20T15:37:41.123Z,AUD_MAIN,confirmed,2025-09-19T23:54:03.975Z
RSVP_000076,EVT_0008,E100810,aarav.yadav@iitg.ac.in,Sports Tournament - coniuratio alius,Sports Tournament,2026-01-15T21:47:29.735Z,AUD_MAIN,pending,2025-09-22T18:09:24.187Z
RSVP_000077,EVT_0008,E100833,sana.singh@iitg.ac.in,Research Presentation - auditor civis,Research Presentation,2026-02-04T01:18:04.498Z,LAB_301,confirmed,2025-10-16T22:34:19.186Z
RSVP_000078,EVT_0008,E100458,vivaan.tiwari@iitg.ac.in,Research Presentation - auctor volubilis,Research Presentation,2025-12-07T12:00:31.154Z,AUD_MAIN,confirmed,2025-10-25T11:59:02.375Z
RSVP_000079,EVT_0008,E100955,reyansh.agarwal@iitg.ac.in,Cultural Event - aeneus socius,Cultural Event,2026-03-22T06:26:44.402Z,LIB_ENT,confirmed,2025-09-27T06:14:53.531Z
RSVP_000080,EVT_0008,E100312,vivaan.kapoor@iitg.ac.in,Research Presentation - cras umquam,Research Presentation,2025-11-16T04:23:03.434Z,AUD_SEMINAR,confirmed,2025-10-14T14:37:38.180Z
RSVP_000081,EVT_0009,E100345,riya.srivastava@iitg.ac.in,Technical Workshop - vergo sumptus,Technical Workshop,2026-01-13T14:08:27.339Z,AC_201,pending,2025-10-05T15:42:42.873Z
RSVP_000082,EVT_0009,E100843,sana.chopra@iitg.ac.in,Sports Tournament - sodalitas audio,Sports Tournament,2026-01-29T02:50:20.181Z,GYM_INDOOR,confirmed,2025-09-25T01:26:10.403Z
RSVP_000083,EVT_0009,E100788,advik.srivastava@iitg.ac.in,Technical Workshop - vilis cimentarius,Technical Workshop,2026-03-29T15:27:26.989Z,GYM_MAIN,confirmed,2025-10-15T10:10:41.105Z
RSVP_000084,EVT_0009,E100175,sai.yadav@iitg.ac.in,Guest Lecture - suffoco certe,Guest Lecture,2026-03-23T22:21:25.100Z,CC_SERVER,confirmed,2025-09-27T12:15:09.991Z
RSVP_000085,EVT_0009,E100571,sai.mehta@iitg.ac.in,Career Fair - nobis desparatus,Career Fair,2026-02-02T22:27:55.050Z,LAB_201,confirmed,2025-10-12T01:42:10.293Z
RSVP_000086,EVT_0009,E100987,priya.singh@iitg.ac.in,Conference - rem subnecto,Conference,2026-03-25T01:35:11.216Z,CC_LAB2,confirmed,2025-10-09T01:34:40.629Z
RSVP_000087,EVT_0009,E100228,krishna.chopra@iitg.ac.in,Research Presentation - strues vulgo,Research Presentation,2026-03-09T07:08:06.632Z,GYM_INDOOR,confirmed,2025-10-04T21:10:57.552Z
RSVP_000088,EVT_0009,E100439,advik.bansal@iitg.ac.in,Seminar - vulgaris alias,Seminar,2025-11-02T04:34:14.066Z,LIB_ENT,confirmed,2025-10-04T18:06:23.235Z
RSVP_000089,EVT_0009,E100302,tara.agarwal@iitg.ac.in,Cultural Event - demens caste,Cultural Event,2026-03-25T12:18:54.987Z,LAB_102,confirmed,2025-10-21T07:59:27.729Z
RSVP_000090,EVT_0009,E100115,shaurya.pandey@iitg.ac.in,Sports Tournament - perspiciatis appono,Sports Tournament,2025-12-22T14:03:39.581Z,ADMIN_OFFICE,declined,2025-09-20T21:21:17.530Z
RSVP_000091,EVT_0010,E100530,neha.kapoor@iitg.ac.in,Career Fair - aeneus tabgo,Career Fair,2026-01-18T13:03:54.173Z,HOSTEL_A,confirmed,2025-10-25T13:50:38.642Z
RSVP_000092,EVT_0010,E100883,tara.patel@iitg.ac.in,Festival Celebration - tersus video,Festival Celebration,2025-10-29T21:23:31.230Z,LAB_101,confirmed,2025-10-13T18:09:56.206Z
RSVP_000093,EVT_0010,E100603,advik.kapoor@iitg.ac.in,Conference - creo vobis,Conference,2026-03-17T20:58:57.539Z,LIB_ENT,confirmed,2025-09-26T08:08:33.599Z
RSVP_000094,EVT_0010,E100358,vihaan.patel@iitg.ac.in,Research Presentation - volubilis sunt,Research Presentation,2026-01-20T07:32:57.211Z,GYM_MAIN,confirmed,2025-09-20T20:08:57.591Z
RSVP_000095,EVT_0010,E100697,shaurya.jain@iitg.ac.in,Career Fair - curso provident,Career Fair,2025-12-05T09:57:07.957Z,LAB_201,confirmed,2025-09-29T21:26:30.364Z
RSVP_000096,EVT_0010,E100828,pari.shah@iitg.ac.in,Research Presentation - patruus velut,Research Presentation,2026-04-11T03:33:18.683Z,LIB_ENT,confirmed,2025-10-15T02:55:10.539Z
RSVP_000097,EVT_0010,E100539,arjun.rao@iitg.ac.in,Career Fair - pauci patruus,Career Fair,2025-11-23T14:17:16.770Z,ADMIN_LOBBY,confirmed,2025-10-01T19:25:43.927Z
RSVP_000098,EVT_0010,E100893,diya.saxena@iitg.ac.in,Conference - vis iste,Conference,2025-12-04T23:09:24.364Z,LAB_301,confirmed,2025-10-13T18:04:43.287Z
RSVP_000099,EVT_0010,E100971,advik.tiwari@iitg.ac.in,Alumni Meet - voluptate volup,Alumni Meet,2025-11-10T19:46:52.489Z,LIB_L2,confirmed,2025-10-12T16:51:32.957Z
RSVP_000100,EVT_0010,E100341,pranav.modi@iitg.ac.in,Sports Tournament - surgo volo,Sports Tournament,2026-02-18T22:12:44.747Z,CAF_MAIN,confirmed,2025-10-18T21:30:25.982Z
RSVP_000101,EVT_0011,E100350,neha.srivastava@iitg.ac.in,Research Presentation - adeo claudeo,Research Presentation,2025-12-28T13:17:24.321Z,CC_LAB1,confirmed,2025-10-23T11:49:02.281Z
RSVP_000102,EVT_0011,E100226,ayaan.reddy@iitg.ac.in,Career Fair - vulgaris defero,Career Fair,2026-03-22T23:38:42.436Z,AC_201,confirmed,2025-09-29T05:11:50.762Z
RSVP_000103,EVT_0011,E100411,pari.verma@iitg.ac.in,Research Presentation - copia cogo,Research Presentation,2026-02-16T00:38:40.806Z,ADMIN_OFFICE,confirmed,2025-10-23T01:38:56.161Z
RSVP_000104,EVT_0011,E100816,kavya.modi@iitg.ac.in,Career Fair - textilis volubilis,Career Fair,2026-02-04T02:25:09.950Z,HOSTEL_C,confirmed,2025-10-08T09:28:31.385Z
RSVP_000105,EVT_0011,E100340,krishna.rao@iitg.ac.in,Technical Workshop - aptus basium,Technical Workshop,2026-02-04T05:23:58.788Z,LIB_L3,confirmed,2025-10-16T07:37:26.379Z
RSVP_000106,EVT_0011,E100550,diya.chopra@iitg.ac.in,Sports Tournament - tibi infit,Sports Tournament,2026-01-25T20:08:25.365Z,CC_SERVER,pending,2025-10-07T05:33:05.995Z
RSVP_000107,EVT_0011,E100333,diya.desai@iitg.ac.in,Seminar - talio ter,Seminar,2026-03-23T11:13:40.953Z,LAB_201,confirmed,2025-10-12T06:36:38.229Z
RSVP_000108,EVT_0011,E100961,pari.srivastava@iitg.ac.in,Seminar - defetiscor ver,Seminar,2026-01-10T23:04:59.562Z,LAB_301,pending,2025-10-24T07:03:02.945Z
RSVP_000109,EVT_0011,E100780,aarav.verma@iitg.ac.in,Alumni Meet - abscido aveho,Alumni Meet,2026-03-13T06:08:05.867Z,LAB_101,confirmed,2025-10-07T20:05:27.458Z
RSVP_000110,EVT_0011,E100093,priya.kapoor@iitg.ac.in,Sports Tournament - caries conqueror,Sports Tournament,2026-04-03T01:05:14.187Z,LAB_301,declined,2025-09-21T12:16:32.107Z
RSVP_000111,EVT_0012,E100927,aarav.jain@iitg.ac.in,Sports Tournament - volubilis veniam,Sports Tournament,2025-11-18T19:56:06.605Z,GYM_INDOOR,pending,2025-10-22T18:42:18.778Z
RSVP_000112,EVT_0012,E100468,riya.chopra@iitg.ac.in,Cultural Event - conscendo ab,Cultural Event,2025-12-18T14:36:50.125Z,LAB_102,pending,2025-10-22T10:46:48.571Z
RSVP_000113,EVT_0012,E100568,ira.jain@iitg.ac.in,Alumni Meet - arguo atavus,Alumni Meet,2026-04-02T19:35:44.046Z,LIB_ENT,pending,2025-10-17T08:14:18.161Z
RSVP_000114,EVT_0012,E100145,priya.pandey@iitg.ac.in,Cultural Event - defendo infit,Cultural Event,2026-03-14T22:21:06.280Z,LIB_L3,confirmed,2025-09-22T06:46:53.473Z
RSVP_000115,EVT_0012,E100462,advik.malhotra@iitg.ac.in,Conference - adhaero eius,Conference,2025-11-30T01:20:17.630Z,LIB_L3,confirmed,2025-10-16T13:19:39.242Z
RSVP_000116,EVT_0012,E100237,tara.chopra@iitg.ac.in,Seminar - aggero sustineo,Seminar,2025-11-01T07:27:34.794Z,LAB_201,confirmed,2025-10-04T06:36:53.571Z
RSVP_000117,EVT_0012,E100076,riya.chopra@iitg.ac.in,Guest Lecture - ulterius agnosco,Guest Lecture,2026-03-25T22:33:16.748Z,CC_LAB2,confirmed,2025-10-11T14:11:24.111Z
RSVP_000118,EVT_0012,E100355,aarav.pandey@iitg.ac.in,Conference - alioqui crapula,Conference,2026-03-11T17:01:18.861Z,LIB_L1,confirmed,2025-09-26T17:24:02.976Z
RSVP_000119,EVT_0012,E100708,shaurya.singh@iitg.ac.in,Seminar - varius traho,Seminar,2025-12-10T07:03:03.811Z,CC_LAB2,confirmed,2025-09-23T13:17:45.549Z
RSVP_000120,EVT_0012,E100755,tara.yadav@iitg.ac.in,Technical Workshop - tredecim tertius,Technical Workshop,2025-11-26T19:10:31.155Z,GYM_INDOOR,confirmed,2025-10-21T17:47:09.034Z
RSVP_000121,EVT_0013,E100419,vihaan.pandey@iitg.ac.in,Cultural Event - sol decet,Cultural Event,2026-01-11T10:15:54.300Z,AUD_MAIN,confirmed,2025-10-21T11:08:30.455Z
RSVP_000122,EVT_0013,E100689,sana.arora@iitg.ac.in,Sports Tournament - nostrum quibusdam,Sports Tournament,2026-02-11T04:16:47.704Z,LAB_102,confirmed,2025-10-05T22:48:57.797Z
RSVP_000123,EVT_0013,E100492,neha.reddy@iitg.ac.in,Guest Lecture - veritatis adimpleo,Guest Lecture,2025-12-16T07:13:57.099Z,LIB_L1,confirmed,2025-09-30T05:10:20.924Z
RSVP_000124,EVT_0013,E100124,sai.sharma@iitg.ac.in,Career Fair - pel utique,Career Fair,2026-03-09T02:15:21.472Z,AC_301,confirmed,2025-10-14T22:15:05.801Z
RSVP_000125,EVT_0013,E100173,krishna.mishra@iitg.ac.in,Career Fair - conculco via,Career Fair,2025-12-19T21:21:37.735Z,CAF_FOOD_COURT,declined,2025-10-22T00:17:34.815Z
RSVP_000126,EVT_0013,E100926,anika.desai@iitg.ac.in,Alumni Meet - vulticulus coadunatio,Alumni Meet,2026-01-21T22:24:31.545Z,ADMIN_OFFICE,confirmed,2025-10-24T07:34:48.579Z
RSVP_000127,EVT_0013,E100118,nisha.tiwari@iitg.ac.in,Alumni Meet - aperiam itaque,Alumni Meet,2025-11-06T00:07:33.385Z,LIB_L2,confirmed,2025-09-24T02:24:57.275Z
RSVP_000128,EVT_0013,E100654,ananya.srivastava@iitg.ac.in,Conference - bibo cavus,Conference,2025-12-16T03:18:13.889Z,HOSTEL_B,confirmed,2025-10-09T04:03:36.275Z
RSVP_000129,EVT_0013,E100150,krishna.joshi@iitg.ac.in,Guest Lecture - approbo apud,Guest Lecture,2026-02-03T13:13:48.465Z,CC_LAB2,declined,2025-09-29T20:13:33.935Z
RSVP_000130,EVT_0013,E100777,arjun.modi@iitg.ac.in,Alumni Meet - urbs thymbra,Alumni Meet,2026-04-12T04:32:53.755Z,HOSTEL_B,confirmed,2025-10-23T01:55:01.408Z
RSVP_000131,EVT_0014,E100520,ayaan.patel@iitg.ac.in,Research Presentation - alias id,Research Presentation,2026-03-20T11:04:58.639Z,ADMIN_LOBBY,pending,2025-10-13T18:03:50.513Z
RSVP_000132,EVT_0014,E100481,ira.kapoor@iitg.ac.in,Guest Lecture - calcar error,Guest Lecture,2025-11-28T00:50:27.373Z,CAF_MAIN,confirmed,2025-10-06T00:40:49.556Z
RSVP_000133,EVT_0014,E100580,kavya.modi@iitg.ac.in,Sports Tournament - adimpleo antiquus,Sports Tournament,2025-11-25T08:03:06.571Z,LAB_101,confirmed,2025-10-11T09:49:54.229Z
RSVP_000134,EVT_0014,E100816,kavya.modi@iitg.ac.in,Technical Workshop - antepono tracto,Technical Workshop,2025-10-29T10:03:42.858Z,ADMIN_LOBBY,confirmed,2025-10-22T22:21:50.806Z
